date, pm25, pm10, o3, no2, so2, co
2024/5/4, 110, 42, 79, , 6, 
2024/5/5, 108, 35, 67, , 5, 
2024/5/6, 91, 36, 59, , 7, 
2024/5/7, 93, 36, 36, , 8, 
2024/5/8, 93, 38, 59, , 8, 
2024/5/9, 94, 44, 67, , 7, 
2024/5/10, 117, 43, 69, , 9, 
2024/5/11, 112, 40, 86, , 7, 
2024/5/12, 106, 36, 59, , 9, 
2024/5/13, 99, 33, 55, , 7, 
2024/5/14, 95, 48, 57, , 8, 
2024/5/15, 124, 39, 63, , 6, 
2024/5/16, 104, 42, 39, , 5, 
2024/5/17, 134, 33, 33, , 7, 
2024/5/18, 90, 38, 40, , 7, 
2024/5/19, 100, 35, 51, , 5, 
2024/5/20, 94, 40, 55, , 4, 
2024/5/21, 112, 44, 47, , 7, 
2024/5/22, 122, 42, 44, , 5, 
2024/5/23, 118, 49, 55, , 8, 
2024/5/24, 137, 50, 51, , 7, 
2024/5/25, 140, 47, 39, , 6, 
2024/5/26, 124, 40, 39, , 4, 
2024/5/27, 106, 53, 63, , 6, 
2024/5/28, 140, 48, 24, , 8, 
2024/5/29, 129, , , , , 
2024/6/2, 149, 45, 50, , 6, 
2024/6/3, 121, 42, 45, , 6, 
2024/6/4, 118, 36, 41, , 6, 
2024/6/5, 102, 38, 54, , 7, 
2024/6/6, 107, 56, 65, , 6, 
2024/6/7, 141, 58, 47, , 8, 
2024/6/8, 154, 37, 59, , 8, 
2024/6/9, 104, 52, 22, , 8, 
2024/6/10, 81, 29, 55, , 5, 
2024/6/11, 90, 34, 33, , 4, 
2024/6/12, 97, 98, 34, , 5, 
2024/6/13, 144, 47, 49, , 4, 
2024/6/14, 122, 40, 43, , 5, 
2024/6/15, 105, 34, 51, , 6, 
2024/6/16, 87, 27, 45, , 5, 
2024/6/17, 78, 35, 62, , 4, 
2024/6/18, 106, 22, 35, , 5, 
2024/6/19, 60, 28, 38, , , 
2024/6/20, 79, 19, 25, , , 
2024/6/21, 58, 24, 27, , , 
2024/6/22, 50, 22, 26, , , 
2024/6/23, 51, 30, 46, , , 
2024/6/24, 56, 17, 27, , , 
2024/6/25, 40, 19, 18, , , 
2024/6/26, 51, 25, 41, , , 
2024/6/27, 60, 29, 55, , , 
2024/6/28, 74, 21, 67, , , 
2024/6/29, 59, 11, 34, , , 
2024/6/30, 37, 11, 28, , , 
2024/7/1, 39, 10, 12, , , 
2024/1/2, 94, 39, 21, , 7, 
2024/1/3, 79, 54, 35, , 9, 
2024/1/4, 105, 44, 32, , 6, 
2024/1/5, 88, 40, 26, , 7, 
2024/1/6, 99, 33, 2, , 7, 
2024/1/7, 83, 31, 19, , 6, 
2024/1/8, 72, 29, 16, , 7, 
2024/1/9, 75, 32, 30, , 6, 
2024/1/10, 83, 39, 23, , 7, 
2024/1/11, 91, 38, 26, , 6, 
2024/1/12, 89, 45, 34, , 7, 
2024/1/13, 110, 45, 32, , 7, 
2024/1/14, 107, 47, 65, , 6, 
2024/1/15, 114, 55, 38, , 8, 
2024/1/16, 128, 52, 33, , 10, 
2024/1/17, 121, , , , , 
2024/2/1, 133, 46, 42, , 8, 
2024/2/2, 104, 31, 34, , 7, 
2024/2/3, 78, 27, 33, , 5, 
2024/2/4, 59, 33, 45, , 6, 
2024/2/5, 68, 43, 39, , 8, 
2024/2/6, 98, 50, 57, , 6, 
2024/2/7, 110, 44, 59, , 10, 
2024/2/8, 103, 44, 48, , 9, 
2024/2/9, 86, 50, 69, , 6, 
2024/2/10, 86, 34, 37, , 6, 
2024/2/11, 86, 25, 37, , 6, 
2024/2/12, 86, 53, 32, , 8, 
2024/2/13, 86, 33, 28, , 7, 
2024/2/14, 86, 24, 20, , 8, 
2024/2/15, 86, 21, 26, , 6, 
2024/2/16, 81, 11, 11, , 5, 
2024/2/17, 29, 19, 35, , 7, 
2024/2/18, 41, 26, 42, , 4, 
2024/2/19, 56, 44, 70, , 9, 
2024/2/20, 95, 55, 68, , 9, 
2024/2/21, 111, 47, 110, , 7, 
2024/2/22, 114, 44, 81, , 8, 
2024/2/23, 98, 48, 82, , 7, 
2024/2/24, 109, 46, 103, , 8, 
2024/2/25, 107, 46, 106, , 8, 
2024/2/26, 100, 45, 94, , 7, 
2024/2/27, 93, 43, 82, , 10, 
2024/2/28, 97, 42, 64, , 11, 
2024/2/29, 99, 39, 48, , 8, 
2024/3/1, 99, 16, 8, , 8, 
2024/3/2, 67, 31, 45, , 9, 
2024/3/3, 81, 37, 39, , 7, 
2024/3/4, 82, 28, 37, , 8, 
2024/3/5, 73, 39, 49, , 10, 
2024/3/6, 92, 37, 47, , 8, 
2024/3/7, 88, 33, 17, , 7, 
2024/3/8, 100, 44, 11, , 5, 
2024/3/9, 86, 36, 14, , 4, 
2024/3/10, 111, 34, 22, , 5, 
2024/3/11, 83, 38, 5, , 6, 
2024/3/12, 97, 38, 17, , 5, 
2024/3/13, 96, 39, 12, , 5, 
2024/3/14, 97, 43, 13, , 5, 
2024/3/15, 107, 39, 11, , 6, 
2024/3/16, 103, 43, 15, , 6, 
2024/3/17, 100, , , , , 
2023/10/2, 95, 36, 48, , 5, 
2023/10/3, 76, 48, 72, , 5, 
2023/10/4, 97, 31, 42, , 7, 
2023/10/5, 65, 40, 45, , 5, 
2023/10/6, 81, 32, 38, , 4, 
2023/10/7, 73, 24, 30, , 6, 
2023/10/8, 58, 17, 39, , 4, 
2023/10/9, 44, 26, 34, , 6, 
2023/10/10, 56, 22, 15, , 6, 
2023/10/11, 41, 22, 21, , 7, 
2023/10/12, 42, 20, 24, , 7, 
2023/10/13, 49, 32, 53, , 7, 
2023/10/14, 55, , , , , 
2023/10/24, 67, 41, 50, , 6, 
2023/10/25, 84, 41, 53, , 6, 
2023/10/26, 90, 54, 61, , 7, 
2023/10/27, 106, 22, 12, , 8, 
2023/10/28, 53, , , , , 
2023/10/30, 89, 43, 44, , 5, 
2023/10/31, 89, 48, 53, , 7, 
2023/11/1, 94, 72, 5, , 6, 
2023/11/2, 146, 48, 49, , 5, 
2023/11/3, 102, 51, 49, , 8, 
2023/11/4, 105, 46, 39, , 6, 
2023/11/5, 99, 41, 42, , 6, 
2023/11/6, 88, 61, 51, , 7, 
2023/11/7, 124, 67, 66, , 8, 
2023/11/8, 139, 41, 104, , 7, 
2023/11/9, 99, 31, 51, , 6, 
2023/11/10, 83, 37, 39, , 8, 
2023/11/11, 90, 26, 35, , 7, 
2023/11/12, 66, 35, 31, , 6, 
2023/11/13, 85, 21, 31, , 7, 
2023/11/14, 59, 36, 8, , 9, 
2023/11/15, 95, 28, 41, , 6, 
2023/11/16, 77, 27, 53, , 7, 
2023/11/17, 78, 45, 63, , 7, 
