date,o3,pm10,pm25,tmp,rh,ws,wd
2017-04-05,0.0174999999999999,61.50416666666666,24.86923076923077,24.641666666666666,19.65,1.7916666666666667,13.675242097511733
2017-04-06,0.01525,59.65,24.86923076923077,25.8875,21.8875,2.379166666666667,14.252069001748698
2017-04-07,0.0145416666666666,56.3875,24.86923076923077,25.5375,23.375,2.9250000000000003,14.083613635371048
2017-04-08,0.015,50.05416666666667,24.86923076923077,26.7875,15.270833333333334,3.454166666666667,14.948226694327746
2017-04-09,0.01475,46.81666666666666,24.86923076923077,25.270833333333332,18.429166666666667,3.6666666666666665,13.409122688875224
2017-04-10,0.01525,33.987500000000004,24.86923076923077,26.03333333333333,19.083333333333332,3.1666666666666665,14.554420245006815
2017-04-11,0.0150416666666666,42.2375,24.86923076923077,25.745833333333337,18.925,3.8375,14.080854268426764
2017-04-12,0.0176666666666666,77.4875,24.86923076923077,25.5625,26.2125,3.2541666666666664,13.676579006680589
2017-04-13,0.0160416666666666,44.520833333333336,24.86923076923077,24.941666666666663,22.9125,3.329166666666667,13.038239952562984
2017-04-14,0.0172083333333333,43.645833333333336,24.86923076923077,24.52916666666667,25.2125,3.4250000000000003,12.32116983959494
2017-04-15,0.0164583333333333,40.93333333333333,24.86923076923077,24.4875,21.991666666666664,3.158333333333333,12.393766572350517
2017-04-16,0.0167916666666666,37.65833333333333,24.86923076923077,24.55,20.916666666666668,3.891666666666666,12.083426074386852
2017-04-17,0.0168333333333333,48.32916666666667,24.86923076923077,23.35,19.545833333333334,3.1958333333333333,10.199709480445131
2017-04-18,0.0185833333333333,54.12083333333334,24.86923076923077,23.5125,18.720833333333335,2.4250000000000003,11.242330222187158
2017-04-19,0.0158333333333333,55.24166666666667,24.86923076923077,24.516666666666666,22.454166666666666,3.0208333333333335,12.15846761273741
2017-04-20,0.01825,58.39166666666667,24.86923076923077,25.1125,24.583333333333332,2.4125,12.4741447002921
2017-04-21,0.0183333333333333,63.520833333333336,24.86923076923077,25.3625,28.72083333333333,3.420833333333333,12.99536076410626
2017-04-22,0.0197916666666666,58.375,24.86923076923077,25.370833333333337,32.44583333333333,3.0375,12.789739181427525
2017-04-23,0.0124166666666666,50.09166666666667,24.86923076923077,21.583333333333332,48.916666666666664,4.05,7.082526177088846
2017-04-24,0.026,55.66,24.86923076923077,28.160000000000004,28.81,4.05,15.060172662983316
2017-04-25,0.0203333333333333,45.10833333333333,24.86923076923077,23.641666666666666,31.445833333333336,4.7875000000000005,9.41411984448056
2017-04-26,0.0237777777777777,35.8,24.86923076923077,25.272222222222226,14.61111111111111,4.594444444444445,11.956243200794027
2017-04-27,0.0212083333333333,48.5625,24.86923076923077,23.8375,20.108333333333334,3.4499999999999997,11.060465189427427
2017-04-28,0.0213333333333333,55.6125,24.86923076923077,23.208333333333332,12.9875,3.0583333333333336,9.770655977946664
2017-04-29,0.0195,57.275,24.86923076923077,23.508333333333336,21.758333333333336,4.041666666666667,10.967181719054004
2017-04-30,0.0195833333333333,53.3875,24.86923076923077,24.7625,24.995833333333337,2.841666666666667,11.85099018432724
2017-05-01,0.0190416666666666,48.63333333333333,24.86923076923077,26.233333333333334,25.21666666666667,2.7125,13.234281524193008
2017-05-02,0.0155416666666666,64.70416666666667,24.86923076923077,26.5125,22.920833333333334,3.1374999999999997,12.951900049113991
2017-05-03,0.0151666666666666,57.88333333333333,24.86923076923077,25.9375,28.2875,3.4791666666666665,12.020853040070431
